Datetime,Water Level (m)
2023-11-02 12:00:00,-0.6883009
2023-11-02 13:00:00,-0.55484927
2023-11-02 14:00:00,-0.18769401
2023-11-02 15:00:00,0.24211742
2023-11-02 16:00:00,0.6542906
2023-11-02 17:00:00,0.949305
2023-11-02 18:00:00,1.0202807
2023-11-02 19:00:00,0.8338387
2023-11-02 20:00:00,0.49110317
2023-11-02 21:00:00,0.15146704
2023-11-02 22:00:00,-0.14586882
2023-11-02 23:00:00,-0.36921993
2023-11-03 00:00:00,-0.50537217
2023-11-03 01:00:00,-0.5164121
2023-11-03 02:00:00,-0.33843717
2023-11-03 03:00:00,-0.042867094
2023-11-03 04:00:00,0.20734067
2023-11-03 05:00:00,0.39190876
2023-11-03 06:00:00,0.5028994
2023-11-03 07:00:00,0.47820583
2023-11-03 08:00:00,0.28030694
2023-11-03 09:00:00,0.019435769
2023-11-03 10:00:00,-0.2104125
2023-11-03 11:00:00,-0.40240073
2023-11-03 12:00:00,-0.5324577
2023-11-03 13:00:00,-0.4925592
2023-11-03 14:00:00,-0.24238403
2023-11-03 15:00:00,0.06310288
2023-11-03 16:00:00,0.35952878
2023-11-03 17:00:00,0.61420524
2023-11-03 18:00:00,0.7673962
2023-11-03 19:00:00,0.7622159
2023-11-03 20:00:00,0.62078476
2023-11-03 21:00:00,0.38263163
2023-11-03 22:00:00,0.13188113
2023-11-03 23:00:00,-0.08133958
2023-11-04 00:00:00,-0.26342252
2023-11-04 01:00:00,-0.39002573
2023-11-04 02:00:00,-0.39424545
2023-11-04 03:00:00,-0.23819235
2023-11-04 04:00:00,-0.017503569
2023-11-04 05:00:00,0.15777746
2023-11-04 06:00:00,0.28079453
2023-11-04 07:00:00,0.346741
2023-11-04 08:00:00,0.31273726
2023-11-04 09:00:00,0.1712189
2023-11-04 10:00:00,0.011760064
2023-11-04 11:00:00,-0.13580847
2023-11-04 12:00:00,-0.26688656
2023-11-04 13:00:00,-0.3440555
2023-11-04 14:00:00,-0.30695745
2023-11-04 15:00:00,-0.14120014
2023-11-04 16:00:00,0.087747715
2023-11-04 17:00:00,0.31122154
2023-11-04 18:00:00,0.48212278
2023-11-04 19:00:00,0.587401
2023-11-04 20:00:00,0.6037576
2023-11-04 21:00:00,0.4905279
2023-11-04 22:00:00,0.29492012
2023-11-04 23:00:00,0.122737855
2023-11-05 00:00:00,-0.015611499
2023-11-05 01:00:00,-0.16228911
2023-11-05 02:00:00,-0.29886505
2023-11-05 03:00:00,-0.334116
